#fixingDate,fixingId,fixingValue
2015-02-02,USD-LIBOR-3M,0.0025210000
2015-02-03,USD-LIBOR-3M,0.0025510000
2015-02-04,USD-LIBOR-3M,0.0025510000
2015-02-05,USD-LIBOR-3M,0.0025610000
2015-02-06,USD-LIBOR-3M,0.0025560000
2015-02-09,USD-LIBOR-3M,0.0025835000
2015-02-10,USD-LIBOR-3M,0.0025810000
2015-02-11,USD-LIBOR-3M,0.0025810000
2015-02-12,USD-LIBOR-3M,0.0025810000
2015-02-13,USD-LIBOR-3M,0.0025710000
2015-02-16,USD-LIBOR-3M,0.0025620000
2015-02-17,USD-LIBOR-3M,0.0025670000
2015-02-18,USD-LIBOR-3M,0.0026060000
2015-02-19,USD-LIBOR-3M,0.0026150000
2015-02-20,USD-LIBOR-3M,0.0026260000
2015-02-23,USD-LIBOR-3M,0.0026160000
2015-02-24,USD-LIBOR-3M,0.0026110000
2015-02-25,USD-LIBOR-3M,0.0026090000
2015-02-26,USD-LIBOR-3M,0.0026160000
2015-02-27,USD-LIBOR-3M,0.0026185000
2015-03-02,USD-LIBOR-3M,0.0026095000
2015-03-03,USD-LIBOR-3M,0.0026515000
2015-03-04,USD-LIBOR-3M,0.0026360000
2015-03-05,USD-LIBOR-3M,0.0026360000
2015-03-06,USD-LIBOR-3M,0.0026460000
2015-03-09,USD-LIBOR-3M,0.0026660000
2015-03-10,USD-LIBOR-3M,0.0026770000
2015-03-11,USD-LIBOR-3M,0.0026990000
2015-03-12,USD-LIBOR-3M,0.0027060000
2015-03-13,USD-LIBOR-3M,0.0027065000
2015-03-16,USD-LIBOR-3M,0.0027015000
2015-03-17,USD-LIBOR-3M,0.0026935000
2015-03-18,USD-LIBOR-3M,0.0027030000
2015-03-19,USD-LIBOR-3M,0.0026455000
2015-03-20,USD-LIBOR-3M,0.0026680000
2015-03-23,USD-LIBOR-3M,0.0026680000
2015-03-24,USD-LIBOR-3M,0.0026935000
2015-03-25,USD-LIBOR-3M,0.0026855000
2015-03-26,USD-LIBOR-3M,0.0027305000
2015-03-27,USD-LIBOR-3M,0.0027540000
2015-03-30,USD-LIBOR-3M,0.0027415000
2015-03-31,USD-LIBOR-3M,0.0027075000
2015-04-01,USD-LIBOR-3M,0.0027075000
2015-04-02,USD-LIBOR-3M,0.0027375000
2015-04-07,USD-LIBOR-3M,0.0027375000
2015-04-08,USD-LIBOR-3M,0.0027120000
2015-04-09,USD-LIBOR-3M,0.0027590000
2015-04-10,USD-LIBOR-3M,0.0027700000
2015-04-13,USD-LIBOR-3M,0.0027530000
2015-04-14,USD-LIBOR-3M,0.0027555000
2015-04-15,USD-LIBOR-3M,0.0027435000
2015-04-16,USD-LIBOR-3M,0.0027510000
2015-04-17,USD-LIBOR-3M,0.0027575000
