#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
Leg001,DiscountCurve/USD/0/6M,Up,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y,Up,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,DiscountCurve/USD/2/2Y,Up,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,DiscountCurve/USD/3/3Y,Up,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M,Down,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y,Down,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,DiscountCurve/USD/2/2Y,Down,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,DiscountCurve/USD/3/3Y,Down,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,IndexCurve/USD-LIBOR-3M/0/6M,Up,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,IndexCurve/USD-LIBOR-3M/1/1Y,Up,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,IndexCurve/USD-LIBOR-3M/2/2Y,Up,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,IndexCurve/USD-LIBOR-3M/3/3Y,Up,-0.37,0.000100,#N/A,-0.40,-0.03
Leg001,IndexCurve/USD-LIBOR-3M/4/5Y,Up,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,IndexCurve/USD-LIBOR-3M/0/6M,Down,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,IndexCurve/USD-LIBOR-3M/1/1Y,Down,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,IndexCurve/USD-LIBOR-3M/2/2Y,Down,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,IndexCurve/USD-LIBOR-3M/3/3Y,Down,-0.37,0.000100,#N/A,-0.34,0.03
Leg001,IndexCurve/USD-LIBOR-3M/4/5Y,Down,-0.37,0.000100,#N/A,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:DiscountCurve/USD/1/1Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:DiscountCurve/USD/2/2Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:DiscountCurve/USD/3/3Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:DiscountCurve/USD/4/5Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:DiscountCurve/USD/5/7Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:DiscountCurve/USD/6/10Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:DiscountCurve/USD/7/15Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:DiscountCurve/USD/8/20Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-FedFunds/0/6M,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-FedFunds/1/1Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-FedFunds/2/2Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-FedFunds/3/3Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-FedFunds/4/5Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-FedFunds/5/7Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-FedFunds/6/10Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-FedFunds/7/15Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-FedFunds/8/20Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/0/6M,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/1/1Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/2/2Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/3/3Y,Cross,-0.37,0.000100,0.000100,-0.40,-0.03
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/4/5Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/5/7Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/6/10Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/7/15Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/8/20Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/0/6M,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/1/1Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/2/2Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/3/3Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/4/5Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/5/7Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/6/10Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/7/15Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/8/20Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:DiscountCurve/USD/2/2Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:DiscountCurve/USD/3/3Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:DiscountCurve/USD/4/5Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:DiscountCurve/USD/5/7Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:DiscountCurve/USD/6/10Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:DiscountCurve/USD/7/15Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:DiscountCurve/USD/8/20Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-FedFunds/0/6M,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-FedFunds/1/1Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-FedFunds/2/2Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-FedFunds/3/3Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-FedFunds/4/5Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-FedFunds/5/7Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-FedFunds/6/10Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-FedFunds/7/15Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-FedFunds/8/20Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/0/6M,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/1/1Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/2/2Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/3/3Y,Cross,-0.37,0.000100,0.000100,-0.40,-0.03
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/4/5Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/5/7Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/6/10Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/7/15Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/8/20Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-6M/0/6M,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-6M/1/1Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-6M/2/2Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-6M/3/3Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-6M/4/5Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-6M/5/7Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
