#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
Leg001,false,DiscountCurve/USD/0/6M,0.000100,,0.000000,USD,-0.37,0.00,0.00
Leg001,false,DiscountCurve/USD/1/1Y,0.000100,,0.000000,USD,-0.37,0.00,0.00
Leg001,false,DiscountCurve/USD/2/2Y,0.000100,,0.000000,USD,-0.37,0.00,0.00
Leg001,false,DiscountCurve/USD/3/3Y,0.000100,,0.000000,USD,-0.37,0.00,0.00
Leg001,false,IndexCurve/USD-LIBOR-3M/0/6M,0.000100,,0.000000,USD,-0.37,0.00,0.00
Leg001,false,IndexCurve/USD-LIBOR-3M/1/1Y,0.000100,,0.000000,USD,-0.37,0.00,0.00
Leg001,false,IndexCurve/USD-LIBOR-3M/2/2Y,0.000100,,0.000000,USD,-0.37,0.00,0.00
Leg001,false,IndexCurve/USD-LIBOR-3M/3/3Y,0.000100,,0.000000,USD,-0.37,-0.03,0.00
Leg001,false,IndexCurve/USD-LIBOR-3M/4/5Y,0.000100,,0.000000,USD,-0.37,0.00,0.00
Leg001,false,DiscountCurve/USD/2/2Y,0.000100,IndexCurve/USD-LIBOR-3M/1/1Y,0.000100,USD,-0.37,0.00,0.00
Leg001,false,DiscountCurve/USD/2/2Y,0.000100,IndexCurve/USD-LIBOR-3M/3/3Y,0.000100,USD,-0.37,0.00,0.00
Leg001,false,DiscountCurve/USD/3/3Y,0.000100,IndexCurve/USD-LIBOR-3M/2/2Y,0.000100,USD,-0.37,0.00,0.00
Leg001,false,DiscountCurve/USD/3/3Y,0.000100,IndexCurve/USD-LIBOR-3M/3/3Y,0.000100,USD,-0.37,0.00,0.00
Leg001,false,IndexCurve/USD-LIBOR-3M/2/2Y,0.000100,IndexCurve/USD-LIBOR-3M/3/3Y,0.000100,USD,-0.37,0.00,0.00
