#Key,Factor,BaseValue,ShiftSize
DiscountCurve/USD/0,DiscountCurve/USD/0/6M,0.00527728,0.00010000
DiscountCurve/USD/1,DiscountCurve/USD/1/1Y,0.00565871,0.00010000
DiscountCurve/USD/2,DiscountCurve/USD/2/2Y,0.00647964,0.00010000
DiscountCurve/USD/3,DiscountCurve/USD/3/3Y,0.00716360,0.00010000
DiscountCurve/USD/4,DiscountCurve/USD/4/5Y,0.00937218,0.00010000
DiscountCurve/USD/5,DiscountCurve/USD/5/7Y,0.01119194,0.00010000
DiscountCurve/USD/6,DiscountCurve/USD/6/10Y,0.01358078,0.00010000
DiscountCurve/USD/7,DiscountCurve/USD/7/15Y,0.01649948,0.00010000
DiscountCurve/USD/8,DiscountCurve/USD/8/20Y,0.01793585,0.00010000
IndexCurve/USD-FedFunds/0,IndexCurve/USD-FedFunds/0/6M,0.00527728,0.00010000
IndexCurve/USD-FedFunds/1,IndexCurve/USD-FedFunds/1/1Y,0.00565871,0.00010000
IndexCurve/USD-FedFunds/2,IndexCurve/USD-FedFunds/2/2Y,0.00647964,0.00010000
IndexCurve/USD-FedFunds/3,IndexCurve/USD-FedFunds/3/3Y,0.00716360,0.00010000
IndexCurve/USD-FedFunds/4,IndexCurve/USD-FedFunds/4/5Y,0.00937218,0.00010000
IndexCurve/USD-FedFunds/5,IndexCurve/USD-FedFunds/5/7Y,0.01119194,0.00010000
IndexCurve/USD-FedFunds/6,IndexCurve/USD-FedFunds/6/10Y,0.01358078,0.00010000
IndexCurve/USD-FedFunds/7,IndexCurve/USD-FedFunds/7/15Y,0.01649948,0.00010000
IndexCurve/USD-FedFunds/8,IndexCurve/USD-FedFunds/8/20Y,0.01793585,0.00010000
IndexCurve/USD-LIBOR-3M/0,IndexCurve/USD-LIBOR-3M/0/6M,0.00809933,0.00010000
IndexCurve/USD-LIBOR-3M/1,IndexCurve/USD-LIBOR-3M/1/1Y,0.00852760,0.00010000
IndexCurve/USD-LIBOR-3M/2,IndexCurve/USD-LIBOR-3M/2/2Y,0.00921693,0.00010000
IndexCurve/USD-LIBOR-3M/3,IndexCurve/USD-LIBOR-3M/3/3Y,0.01019493,0.00010000
IndexCurve/USD-LIBOR-3M/4,IndexCurve/USD-LIBOR-3M/4/5Y,0.01237271,0.00010000
IndexCurve/USD-LIBOR-3M/5,IndexCurve/USD-LIBOR-3M/5/7Y,0.01436923,0.00010000
IndexCurve/USD-LIBOR-3M/6,IndexCurve/USD-LIBOR-3M/6/10Y,0.01691046,0.00010000
IndexCurve/USD-LIBOR-3M/7,IndexCurve/USD-LIBOR-3M/7/15Y,0.01959010,0.00010000
IndexCurve/USD-LIBOR-3M/8,IndexCurve/USD-LIBOR-3M/8/20Y,0.02105603,0.00010000
IndexCurve/USD-LIBOR-6M/0,IndexCurve/USD-LIBOR-6M/0/6M,0.00809101,0.00010000
IndexCurve/USD-LIBOR-6M/1,IndexCurve/USD-LIBOR-6M/1/1Y,0.00890329,0.00010000
IndexCurve/USD-LIBOR-6M/2,IndexCurve/USD-LIBOR-6M/2/2Y,0.00770981,0.00010000
IndexCurve/USD-LIBOR-6M/3,IndexCurve/USD-LIBOR-6M/3/3Y,0.00883154,0.00010000
IndexCurve/USD-LIBOR-6M/4,IndexCurve/USD-LIBOR-6M/4/5Y,0.01114338,0.00010000
IndexCurve/USD-LIBOR-6M/5,IndexCurve/USD-LIBOR-6M/5/7Y,0.01327248,0.00010000
IndexCurve/USD-LIBOR-6M/6,IndexCurve/USD-LIBOR-6M/6/10Y,0.01566421,0.00010000
IndexCurve/USD-LIBOR-6M/7,IndexCurve/USD-LIBOR-6M/7/15Y,0.01839168,0.00010000
IndexCurve/USD-LIBOR-6M/8,IndexCurve/USD-LIBOR-6M/8/20Y,0.01980323,0.00010000
